timestamp,date,time,open,high,low,close,volume
2022-08-21 00:00:00,2022-08-21,00:00,35265,35675,35130,35160,197056700
2022-08-21 01:00:00,2022-08-21,01:00,35160,35610,35155,35540,92250300
2022-08-21 02:00:00,2022-08-21,02:00,35540,35655,35375,35485,92785400
2022-08-21 03:00:00,2022-08-21,03:00,35485,35510,34995,35095,140314100
2022-08-21 04:00:00,2022-08-21,04:00,35095,35255,34890,34960,90462500
2022-08-21 05:00:00,2022-08-21,05:00,34960,35195,34810,35150,134860000
2022-08-21 06:00:00,2022-08-21,06:00,35150,35230,34680,34790,199699700
2022-08-21 07:00:00,2022-08-21,07:00,34790,35470,34450,35435,447214500
2022-08-21 08:00:00,2022-08-21,08:00,35435,36205,35375,35615,407450900
2022-08-21 09:00:00,2022-08-21,09:00,35615,36205,35490,35930,259158000
2022-08-21 10:00:00,2022-08-21,10:00,35930,36185,35800,35850,143409800
2022-08-21 11:00:00,2022-08-21,11:00,35850,36275,35820,36165,146507900
2022-08-21 12:00:00,2022-08-21,12:00,36165,36290,35875,35905,166853800
2022-08-21 13:00:00,2022-08-21,13:00,35905,35965,35665,35730,126345800
2022-08-21 14:00:00,2022-08-21,14:00,35730,35980,35575,35950,135837200
2022-08-21 15:00:00,2022-08-21,15:00,35950,36120,35790,35985,122170200
2022-08-21 16:00:00,2022-08-21,16:00,35985,36580,35825,36280,212374400
2022-08-21 17:00:00,2022-08-21,17:00,36280,36530,36190,36250,144610500
2022-08-21 18:00:00,2022-08-21,18:00,36250,36395,36115,36365,98848900
2022-08-21 19:00:00,2022-08-21,19:00,36365,36420,36170,36305,76394200
2022-08-21 20:00:00,2022-08-21,20:00,36305,36835,36035,36335,246224400
2022-08-21 21:00:00,2022-08-21,21:00,36335,37040,36245,36825,210341300
2022-08-21 22:00:00,2022-08-21,22:00,36825,36825,35900,36530,434971100
2022-08-21 23:00:00,2022-08-21,23:00,36530,36865,36375,36420,183763400
2022-08-22 00:00:00,2022-08-22,00:00,36420,36530,36040,36260,190105800
2022-08-22 01:00:00,2022-08-22,01:00,36260,36460,36015,36165,181150000
2022-08-22 02:00:00,2022-08-22,02:00,36165,36440,36135,36360,95307000
2022-08-22 03:00:00,2022-08-22,03:00,36360,36425,36065,36080,106654500
2022-08-22 04:00:00,2022-08-22,04:00,36080,36315,35740,36225,208732900
2022-08-22 05:00:00,2022-08-22,05:00,36225,36285,36035,36110,91050200
2022-08-22 06:00:00,2022-08-22,06:00,36110,36125,35380,35600,224452700
2022-08-22 07:00:00,2022-08-22,07:00,35600,35715,34775,34900,391708100
2022-08-22 08:00:00,2022-08-22,08:00,34900,34925,33700,34375,835562600
2022-08-22 09:00:00,2022-08-22,09:00,34375,34560,34150,34470,329208000
2022-08-22 10:00:00,2022-08-22,10:00,34470,34825,34345,34700,193859300
2022-08-22 11:00:00,2022-08-22,11:00,34700,34910,34485,34630,180457600
2022-08-22 12:00:00,2022-08-22,12:00,34630,34715,34185,34285,251371200
