timestamp,date,time,open,high,low,close,volume
2022-08-01 00:00:00,2022-08-01,00:00,42305,42895,42035,42830,154131600
2022-08-01 01:00:00,2022-08-01,01:00,42830,43260,42655,42935,123162700
2022-08-01 02:00:00,2022-08-01,02:00,42935,43200,42655,42895,71877300
2022-08-01 03:00:00,2022-08-01,03:00,42895,43055,42540,42990,82300300
2022-08-01 04:00:00,2022-08-01,04:00,42990,43105,42820,43025,59834400
2022-08-01 05:00:00,2022-08-01,05:00,43025,43075,42570,42720,96615200
2022-08-01 06:00:00,2022-08-01,06:00,42720,42725,42285,42600,105032900
2022-08-01 07:00:00,2022-08-01,07:00,42600,42990,42245,42940,177177500
2022-08-01 08:00:00,2022-08-01,08:00,42940,43140,42645,42680,120675700
2022-08-01 09:00:00,2022-08-01,09:00,42680,43120,42600,42920,115984900
2022-08-01 10:00:00,2022-08-01,10:00,42920,43015,41775,41850,308778900
2022-08-01 11:00:00,2022-08-01,11:00,41850,42305,41610,42215,213484400
2022-08-01 12:00:00,2022-08-01,12:00,42215,42435,41755,41780,199306900
2022-08-01 13:00:00,2022-08-01,13:00,41780,42410,41330,42220,360251600
2022-08-01 14:00:00,2022-08-01,14:00,42220,42955,42135,42765,385531000
2022-08-01 15:00:00,2022-08-01,15:00,42765,42830,42230,42465,197785300
2022-08-01 16:00:00,2022-08-01,16:00,42465,42525,41750,41870,321332400
2022-08-01 17:00:00,2022-08-01,17:00,41870,42020,40930,41160,320315200
2022-08-01 18:00:00,2022-08-01,18:00,41160,41320,40550,41160,210879000
2022-08-01 19:00:00,2022-08-01,19:00,41160,41295,40815,41100,214683000
2022-08-01 20:00:00,2022-08-01,20:00,41100,41500,41005,41480,84837500
2022-08-01 21:00:00,2022-08-01,21:00,41480,41555,41005,41115,62421800
2022-08-01 22:00:00,2022-08-01,22:00,41115,41450,40765,41355,130728600
2022-08-01 23:00:00,2022-08-01,23:00,41355,41890,41315,41625,187179300
2022-08-02 00:00:00,2022-08-02,00:00,41625,42090,41015,41085,199852300
2022-08-02 01:00:00,2022-08-02,01:00,41085,41385,40545,40670,143475100
2022-08-02 02:00:00,2022-08-02,02:00,40670,40855,40100,40230,218320400
2022-08-02 03:00:00,2022-08-02,03:00,40230,40475,39950,40225,193339100
2022-08-02 04:00:00,2022-08-02,04:00,40225,40390,39910,40225,124524000
2022-08-02 05:00:00,2022-08-02,05:00,40225,40525,40165,40305,65766100
2022-08-02 06:00:00,2022-08-02,06:00,40305,40630,40280,40500,75578700
2022-08-02 07:00:00,2022-08-02,07:00,40500,40575,40120,40515,96883000
2022-08-02 08:00:00,2022-08-02,08:00,40515,40530,39975,40075,75168300
2022-08-02 09:00:00,2022-08-02,09:00,40075,40195,39800,40000,151782000
2022-08-02 10:00:00,2022-08-02,10:00,40000,40520,39880,40455,168282000
2022-08-02 11:00:00,2022-08-02,11:00,40455,40780,40370,40525,199466600
2022-08-02 12:00:00,2022-08-02,12:00,40525,40615,39900,40095,167889100
2022-08-02 13:00:00,2022-08-02,13:00,40095,40570,40035,40415,213921000
2022-08-02 14:00:00,2022-08-02,14:00,40415,41515,39995,41445,610091800
2022-08-02 15:00:00,2022-08-02,15:00,41445,41635,40785,41440,319306200
2022-08-02 16:00:00,2022-08-02,16:00,41440,42400,41345,42145,346851300
2022-08-02 17:00:00,2022-08-02,17:00,42145,42290,41570,41765,174000000
2022-08-02 18:00:00,2022-08-02,18:00,41765,41980,41080,41105,203587200
2022-08-02 19:00:00,2022-08-02,19:00,41105,41525,40895,41115,218145800
2022-08-02 20:00:00,2022-08-02,20:00,41115,41500,41035,41415,144207800
2022-08-02 21:00:00,2022-08-02,21:00,41415,41430,41025,41230,69857400
2022-08-02 22:00:00,2022-08-02,22:00,41230,41370,41050,41180,109549300
2022-08-02 23:00:00,2022-08-02,23:00,41180,41350,39430,39760,479657000
2022-08-03 00:00:00,2022-08-03,00:00,39760,40120,37325,38005,1726199800
2022-08-03 01:00:00,2022-08-03,01:00,38005,39560,37750,38900,1354025600
2022-08-03 02:00:00,2022-08-03,02:00,38900,39525,38345,38595,624549700
