
2022-05-10  00.27.22    BenchmarkSAR    bin = 30    fee = 0.0015 - 0.003    2022-05-04 ~  (5) days

4827 loaded. (5 days)
0.001500 / 0.001500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0101 / 0.0672 	 p = 0.03 	 avg = 0.01 	 % = 1.0369 / +3.6874
0.003000 / 0.003000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 5 / 1 / 4 / 0.2500 	 h = -0.0100 / 0.0720 	 p = 0.01 	 avg = 0.00 	 % = 1.0148 / +1.4839
0.003000 / 0.003000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 6 / 1 / 5 / 0.2000 	 h = -0.0101 / 0.0810 	 p = 0.01 	 avg = 0.00 	 % = 1.0101 / +1.0099
0.003000 / 0.003000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 6 / 1 / 5 / 0.2000 	 h = -0.0100 / 0.0869 	 p = 0.01 	 avg = 0.00 	 % = 1.0156 / +1.5617
0.003500 / 0.003500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 5 / 1 / 4 / 0.2500 	 h = -0.0100 / 0.0824 	 p = 0.02 	 avg = 0.00 	 % = 1.0248 / +2.4754
0.004000 / 0.004000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 5 / 1 / 4 / 0.2500 	 h = -0.0100 / 0.0895 	 p = 0.02 	 avg = 0.00 	 % = 1.0314 / +3.1440
0.004500 / 0.004500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 5 / 1 / 4 / 0.2500 	 h = -0.0100 / 0.0897 	 p = 0.02 	 avg = 0.00 	 % = 1.0316 / +3.1602
0.005000 / 0.005000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 5 / 1 / 4 / 0.2500 	 h = -0.0100 / 0.0898 	 p = 0.02 	 avg = 0.00 	 % = 1.0318 / +3.1771
0.005500 / 0.005500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 5 / 1 / 4 / 0.2500 	 h = -0.0101 / 0.0898 	 p = 0.02 	 avg = 0.00 	 % = 1.0317 / +3.1730
0.006000 / 0.006000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0101 / 0.0582 	 p = 0.02 	 avg = 0.01 	 % = 1.0280 / +2.8022
0.006000 / 0.006000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 5 / 1 / 4 / 0.2500 	 h = -0.0100 / 0.0898 	 p = 0.02 	 avg = 0.00 	 % = 1.0317 / +3.1745
0.006500 / 0.006500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0101 / 0.0598 	 p = 0.02 	 avg = 0.01 	 % = 1.0295 / +2.9543
0.007000 / 0.007000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0101 / 0.0615 	 p = 0.02 	 avg = 0.01 	 % = 1.0312 / +3.1214
0.007500 / 0.007500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0101 / 0.0629 	 p = 0.02 	 avg = 0.01 	 % = 1.0326 / +3.2591
0.008000 / 0.008000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0101 / 0.0643 	 p = 0.02 	 avg = 0.01 	 % = 1.0340 / +3.3972
0.008500 / 0.008500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0101 / 0.0657 	 p = 0.02 	 avg = 0.01 	 % = 1.0354 / +3.5357
0.012500 / 0.012500 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0621 	 p = 0.00 	 avg = 0.00 	 % = 1.0008 / +0.0787
0.012500 / 0.012500 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 10 / 3 / 7 / 0.4286 	 h = -0.0100 / 0.0783 	 p = 0.01 	 avg = 0.00 	 % = 1.0157 / +1.5719
0.013000 / 0.013000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0624 	 p = 0.00 	 avg = 0.00 	 % = 1.0012 / +0.1231
0.013000 / 0.013000 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 10 / 3 / 7 / 0.4286 	 h = -0.0100 / 0.0785 	 p = 0.01 	 avg = 0.00 	 % = 1.0165 / +1.6473
0.013000 / 0.013000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0738 	 p = 0.00 	 avg = 0.00 	 % = 1.0081 / +0.8126
0.013000 / 0.013000 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0764 	 p = 0.01 	 avg = 0.00 	 % = 1.0172 / +1.7217
0.013000 / 0.013000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.01 	 avg = 0.00 	 % = 1.0235 / +2.3542
0.013000 / 0.013000 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0352 / +3.5245
0.013000 / 0.013000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0378 / +3.7830
0.013000 / 0.013000 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0397 / +3.9679
0.013000 / 0.013000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0401 / +4.0102
0.013000 / 0.013000 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0401 / +4.0102
0.013000 / 0.013000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0401 / +4.0102
0.013000 / 0.013000 / 0.115000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0401 / +4.0102
0.013000 / 0.013000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0401 / +4.0102
0.013000 / 0.013000 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0401 / +4.0102
0.013000 / 0.013000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.155000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.165000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.175000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.185000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.195000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013000 / 0.013000 / 0.200000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0778 	 p = 0.02 	 avg = 0.00 	 % = 1.0414 / +4.1398
0.013500 / 0.013500 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0625 	 p = 0.00 	 avg = 0.00 	 % = 1.0017 / +0.1680
0.013500 / 0.013500 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 10 / 3 / 7 / 0.4286 	 h = -0.0100 / 0.0788 	 p = 0.01 	 avg = 0.00 	 % = 1.0171 / +1.7084
0.013500 / 0.013500 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0745 	 p = 0.01 	 avg = 0.00 	 % = 1.0177 / +1.7691
0.013500 / 0.013500 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0770 	 p = 0.01 	 avg = 0.00 	 % = 1.0264 / +2.6411
0.013500 / 0.013500 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0794 	 p = 0.03 	 avg = 0.00 	 % = 1.0455 / +4.5530
0.013500 / 0.013500 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0799 	 p = 0.03 	 avg = 0.00 	 % = 1.0494 / +4.9425
0.013500 / 0.013500 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0799 	 p = 0.03 	 avg = 0.00 	 % = 1.0520 / +5.2035
0.013500 / 0.013500 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0799 	 p = 0.03 	 avg = 0.00 	 % = 1.0532 / +5.3177
0.013500 / 0.013500 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0799 	 p = 0.03 	 avg = 0.00 	 % = 1.0532 / +5.3177
0.013500 / 0.013500 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 17 / 4 / 13 / 0.3077 	 h = -0.0101 / 0.0799 	 p = 0.03 	 avg = 0.00 	 % = 1.0532 / +5.3177
