
2022-05-09  23.38.53    BenchmarkSAR    bin = 5    fee = 0.0015 - 0.003    2022-05-04 ~  (5) days

28962 loaded. (5 days)
0.001500 / 0.001500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0698 	 p = 0.00 	 avg = 0.00 	 % = 1.0101 / +1.0140
0.002000 / 0.002000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0863 	 p = 0.04 	 avg = 0.00 	 % = 1.0793 / +7.9340
0.002000 / 0.002000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 23 / 5 / 18 / 0.2778 	 h = -0.0101 / 0.0851 	 p = 0.03 	 avg = 0.00 	 % = 1.0515 / +5.1506
0.002500 / 0.002500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 24 / 7 / 17 / 0.4118 	 h = -0.0101 / 0.0866 	 p = 0.04 	 avg = 0.00 	 % = 1.0612 / +6.1220
0.003000 / 0.003000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0703 	 p = 0.01 	 avg = 0.00 	 % = 1.0256 / +2.5639
0.003500 / 0.003500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0706 	 p = 0.00 	 avg = 0.00 	 % = 1.0143 / +1.4329
0.004000 / 0.004000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0707 	 p = 0.00 	 avg = 0.00 	 % = 1.0148 / +1.4804
0.004500 / 0.004500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0709 	 p = 0.01 	 avg = 0.00 	 % = 1.0292 / +2.9155
0.005000 / 0.005000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0710 	 p = 0.01 	 avg = 0.00 	 % = 1.0162 / +1.6240
0.005500 / 0.005500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0711 	 p = 0.03 	 avg = 0.00 	 % = 1.0551 / +5.5077
0.005500 / 0.005500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 27 / 6 / 21 / 0.2857 	 h = -0.0101 / 0.0871 	 p = 0.01 	 avg = 0.00 	 % = 1.0126 / +1.2614
0.006000 / 0.006000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0713 	 p = 0.03 	 avg = 0.00 	 % = 1.0563 / +5.6259
0.006500 / 0.006500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0714 	 p = 0.03 	 avg = 0.00 	 % = 1.0576 / +5.7618
0.007000 / 0.007000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0715 	 p = 0.03 	 avg = 0.00 	 % = 1.0588 / +5.8822
0.007500 / 0.007500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 7 / 15 / 0.4667 	 h = -0.0101 / 0.0717 	 p = 0.03 	 avg = 0.00 	 % = 1.0460 / +4.6043
0.007500 / 0.007500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 27 / 5 / 22 / 0.2273 	 h = -0.0101 / 0.0874 	 p = 0.00 	 avg = 0.00 	 % = 1.0155 / +1.5499
0.008000 / 0.008000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 7 / 15 / 0.4667 	 h = -0.0101 / 0.0718 	 p = 0.03 	 avg = 0.00 	 % = 1.0468 / +4.6803
0.008000 / 0.008000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 27 / 5 / 22 / 0.2273 	 h = -0.0101 / 0.0874 	 p = 0.01 	 avg = 0.00 	 % = 1.0176 / +1.7601
0.008500 / 0.008500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 7 / 15 / 0.4667 	 h = -0.0101 / 0.0719 	 p = 0.03 	 avg = 0.00 	 % = 1.0470 / +4.6988
0.008500 / 0.008500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 27 / 5 / 22 / 0.2273 	 h = -0.0101 / 0.0874 	 p = 0.01 	 avg = 0.00 	 % = 1.0191 / +1.9088
0.009000 / 0.009000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 6 / 16 / 0.3750 	 h = -0.0101 / 0.0721 	 p = 0.01 	 avg = 0.00 	 % = 1.0308 / +3.0805
