
2022-05-09  23.24.29    BenchmarkSAR    bin = 30    fee = 0.0015 - 0.003    2022-03-16 ~  (54) days

4827 loaded. (54 days)
0.002500 / 0.002500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 37 / 9 / 28 / 0.3214 	 h = -0.0101 / 0.1104 	 p = 0.05 	 avg = 0.00 	 % = 1.0850 / +8.5022
0.002500 / 0.002500 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 39 / 9 / 30 / 0.3000 	 h = -0.0101 / 0.1319 	 p = 0.04 	 avg = 0.00 	 % = 1.0867 / +8.6675
0.002500 / 0.002500 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 43 / 9 / 34 / 0.2647 	 h = -0.0101 / 0.1407 	 p = 0.06 	 avg = 0.00 	 % = 1.1197 / +11.9671
0.002500 / 0.002500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 49 / 9 / 40 / 0.2250 	 h = -0.0101 / 0.1421 	 p = 0.03 	 avg = 0.00 	 % = 1.0878 / +8.7776
0.002500 / 0.002500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1444 	 p = 0.04 	 avg = 0.00 	 % = 1.1085 / +10.8543
0.002500 / 0.002500 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1490 	 p = 0.04 	 avg = 0.00 	 % = 1.1204 / +12.0447
0.002500 / 0.002500 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
0.002500 / 0.002500 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 49 / 10 / 39 / 0.2564 	 h = -0.0101 / 0.1512 	 p = 0.05 	 avg = 0.00 	 % = 1.1263 / +12.6276
