
2022-05-10  19.27.14    BenchmarkSAR    bin = 5    fee = 0.0015 - 0.002    2022-05-04 ~  (6) days

29124 loaded. (6 days)
0.001000 / 0.001000 / 0.014000 	 t = 0.0000 / 0.0200 	 c = 14 / 5 / 9 / 0.5556 	 h = -0.0203 / 0.0910 	 p = 0.05 	 avg = 0.00 	 % = 1.0811 / +4.0559
0.001000 / 0.001000 / 0.049000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.050000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.051000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.052000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.053000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.054000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.055000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.056000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.057000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.058000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.059000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.060000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.061000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.062000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.063000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.064000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.065000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.066000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.067000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.068000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.069000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.070000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.071000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.072000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.073000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.074000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.075000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.076000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.077000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.078000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.079000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.080000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.081000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.082000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.083000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.084000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.085000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.086000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.087000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.088000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.089000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.090000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.091000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.092000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.093000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.094000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.095000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.096000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.097000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.098000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.099000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001100 / 0.001100 / 0.012000 	 t = 0.0000 / 0.0200 	 c = 14 / 5 / 9 / 0.5556 	 h = -0.0204 / 0.0893 	 p = 0.04 	 avg = 0.00 	 % = 1.0734 / +3.6710
0.001100 / 0.001100 / 0.013000 	 t = 0.0000 / 0.0200 	 c = 14 / 5 / 9 / 0.5556 	 h = -0.0204 / 0.0933 	 p = 0.06 	 avg = 0.00 	 % = 1.0920 / +4.5977
0.001100 / 0.001100 / 0.014000 	 t = 0.0000 / 0.0200 	 c = 14 / 5 / 9 / 0.5556 	 h = -0.0203 / 0.0952 	 p = 0.07 	 avg = 0.01 	 % = 1.1216 / +6.0813
0.001100 / 0.001100 / 0.015000 	 t = 0.0000 / 0.0200 	 c = 16 / 6 / 10 / 0.6000 	 h = -0.0204 / 0.0970 	 p = 0.03 	 avg = 0.00 	 % = 1.0472 / +2.3606
0.001100 / 0.001100 / 0.016000 	 t = 0.0000 / 0.0200 	 c = 15 / 6 / 9 / 0.6667 	 h = -0.0204 / 0.0963 	 p = 0.04 	 avg = 0.00 	 % = 1.0797 / +3.9857
0.001100 / 0.001100 / 0.017000 	 t = 0.0000 / 0.0200 	 c = 17 / 6 / 11 / 0.5455 	 h = -0.0204 / 0.0954 	 p = 0.02 	 avg = 0.00 	 % = 1.0304 / +1.5185
0.001100 / 0.001100 / 0.018000 	 t = 0.0000 / 0.0200 	 c = 17 / 6 / 11 / 0.5455 	 h = -0.0204 / 0.0967 	 p = 0.02 	 avg = 0.00 	 % = 1.0357 / +1.7873
0.001100 / 0.001100 / 0.019000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0204 / 0.0942 	 p = 0.08 	 avg = 0.01 	 % = 1.1271 / +6.3530
0.001100 / 0.001100 / 0.020000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0947 	 p = 0.08 	 avg = 0.01 	 % = 1.1299 / +6.4933
0.001100 / 0.001100 / 0.021000 	 t = 0.0000 / 0.0200 	 c = 17 / 6 / 11 / 0.5455 	 h = -0.0204 / 0.0989 	 p = 0.03 	 avg = 0.00 	 % = 1.0531 / +2.6570
0.001100 / 0.001100 / 0.022000 	 t = 0.0000 / 0.0200 	 c = 17 / 6 / 11 / 0.5455 	 h = -0.0204 / 0.1000 	 p = 0.03 	 avg = 0.00 	 % = 1.0559 / +2.7960
0.001100 / 0.001100 / 0.023000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1006 	 p = 0.09 	 avg = 0.01 	 % = 1.1493 / +7.4650
0.001100 / 0.001100 / 0.024000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1007 	 p = 0.09 	 avg = 0.01 	 % = 1.1496 / +7.4810
0.001100 / 0.001100 / 0.025000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.07 	 avg = 0.00 	 % = 1.1061 / +5.3053
0.001100 / 0.001100 / 0.026000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1060 / +5.2999
0.001100 / 0.001100 / 0.027000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3069
0.001100 / 0.001100 / 0.028000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3057
0.001100 / 0.001100 / 0.029000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3048
0.001100 / 0.001100 / 0.030000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.031000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.032000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.033000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.034000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.035000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.036000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.037000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.038000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.039000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.040000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.041000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.042000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.043000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.044000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.045000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.046000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.047000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
0.001100 / 0.001100 / 0.048000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.1009 	 p = 0.06 	 avg = 0.00 	 % = 1.1061 / +5.3045
