
2022-05-10  21.45.49    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.002    2022-05-04 ~  (6) days

9708 loaded. (6 days)
0.002000 / 0.002000 / 0.005000 	 t = 0.0000 / 0.0200 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0204 / 0.0516 	 p = 0.00 	 avg = 0.00 	 % = 1.0040 / +0.2004
0.002500 / 0.002500 / 0.005000 	 t = 0.0000 / 0.0200 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0204 / 0.0551 	 p = 0.01 	 avg = 0.00 	 % = 1.0074 / +0.3702
0.003000 / 0.003000 / 0.005000 	 t = 0.0000 / 0.0200 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0203 / 0.0585 	 p = 0.01 	 avg = 0.00 	 % = 1.0107 / +0.5337
0.003500 / 0.003500 / 0.005000 	 t = 0.0000 / 0.0200 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0203 / 0.0616 	 p = 0.01 	 avg = 0.00 	 % = 1.0137 / +0.6846
0.004000 / 0.004000 / 0.005000 	 t = 0.0000 / 0.0200 	 c = 3 / 1 / 2 / 0.5000 	 h = -0.0203 / 0.0645 	 p = 0.01 	 avg = 0.00 	 % = 1.0164 / +0.8201
0.004500 / 0.004500 / 0.045000 	 t = 0.0000 / 0.0200 	 c = 14 / 4 / 10 / 0.4000 	 h = -0.0204 / 0.0928 	 p = 0.01 	 avg = 0.00 	 % = 1.0139 / +0.6961
0.004500 / 0.004500 / 0.050000 	 t = 0.0000 / 0.0200 	 c = 13 / 5 / 8 / 0.6250 	 h = -0.0204 / 0.0925 	 p = 0.08 	 avg = 0.01 	 % = 1.1283 / +6.4154
0.005000 / 0.005000 / 0.035000 	 t = 0.0000 / 0.0200 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0204 / 0.0932 	 p = 0.03 	 avg = 0.00 	 % = 1.0486 / +2.4306
0.005000 / 0.005000 / 0.040000 	 t = 0.0000 / 0.0200 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0204 / 0.0984 	 p = 0.04 	 avg = 0.00 	 % = 1.0787 / +3.9332
0.005000 / 0.005000 / 0.045000 	 t = 0.0000 / 0.0200 	 c = 16 / 7 / 9 / 0.7778 	 h = -0.0204 / 0.0999 	 p = 0.07 	 avg = 0.00 	 % = 1.1276 / +6.3806
0.005000 / 0.005000 / 0.050000 	 t = 0.0000 / 0.0200 	 c = 17 / 7 / 10 / 0.7000 	 h = -0.0204 / 0.0993 	 p = 0.04 	 avg = 0.00 	 % = 1.0717 / +3.5857
0.005500 / 0.005500 / 0.035000 	 t = 0.0000 / 0.0200 	 c = 18 / 6 / 12 / 0.5000 	 h = -0.0204 / 0.0763 	 p = 0.01 	 avg = 0.00 	 % = 1.0307 / +1.5364
