
2022-05-10  19.23.39    BenchmarkSAR    bin = 5    fee = 0.0015 - 0.002    2022-05-04 ~  (6) days

29124 loaded. (6 days)
0.001500 / 0.001500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0698 	 p = 0.02 	 avg = 0.00 	 % = 1.0285 / +2.8473
0.002000 / 0.002000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 22 / 7 / 15 / 0.4667 	 h = -0.0101 / 0.0863 	 p = 0.05 	 avg = 0.00 	 % = 1.0890 / +8.9049
0.002000 / 0.002000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 26 / 5 / 21 / 0.2381 	 h = -0.0101 / 0.0851 	 p = 0.02 	 avg = 0.00 	 % = 1.0380 / +3.8006
0.002500 / 0.002500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 26 / 8 / 18 / 0.4444 	 h = -0.0101 / 0.1536 	 p = 0.16 	 avg = 0.01 	 % = 1.2668 / +26.6767
0.002500 / 0.002500 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 31 / 6 / 25 / 0.2400 	 h = -0.0101 / 0.0858 	 p = 0.01 	 avg = 0.00 	 % = 1.0120 / +1.2025
0.002500 / 0.002500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0976 	 p = 0.02 	 avg = 0.00 	 % = 1.0360 / +3.6047
0.002500 / 0.002500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.01 	 avg = 0.00 	 % = 1.0287 / +2.8666
0.002500 / 0.002500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.01 	 avg = 0.00 	 % = 1.0313 / +3.1284
0.002500 / 0.002500 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0355 / +3.5490
0.002500 / 0.002500 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.115000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.155000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.165000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.175000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.185000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.195000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.002500 / 0.002500 / 0.200000 	 t = 0.0000 / 0.0100 	 c = 32 / 6 / 26 / 0.2308 	 h = -0.0101 / 0.0999 	 p = 0.02 	 avg = 0.00 	 % = 1.0375 / +3.7506
0.003000 / 0.003000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0703 	 p = 0.03 	 avg = 0.00 	 % = 1.0453 / +4.5282
0.003000 / 0.003000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 26 / 6 / 20 / 0.3000 	 h = -0.0101 / 0.1550 	 p = 0.05 	 avg = 0.00 	 % = 1.0890 / +8.9006
0.003500 / 0.003500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0706 	 p = 0.02 	 avg = 0.00 	 % = 1.0348 / +3.4801
0.003500 / 0.003500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 40 / 9 / 31 / 0.2903 	 h = -0.0101 / 0.1050 	 p = 0.00 	 avg = 0.00 	 % = 1.0097 / +0.9682
0.004000 / 0.004000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0707 	 p = 0.02 	 avg = 0.00 	 % = 1.0353 / +3.5285
0.004500 / 0.004500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0709 	 p = 0.03 	 avg = 0.00 	 % = 1.0489 / +4.8862
0.005000 / 0.005000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0710 	 p = 0.02 	 avg = 0.00 	 % = 1.0357 / +3.5714
0.005500 / 0.005500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0711 	 p = 0.05 	 avg = 0.00 	 % = 1.0774 / +7.7407
0.005500 / 0.005500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0871 	 p = 0.02 	 avg = 0.00 	 % = 1.0279 / +2.7923
0.006000 / 0.006000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0713 	 p = 0.05 	 avg = 0.00 	 % = 1.0786 / +7.8613
0.006500 / 0.006500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0714 	 p = 0.05 	 avg = 0.00 	 % = 1.0800 / +7.9999
0.007000 / 0.007000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 21 / 7 / 14 / 0.5000 	 h = -0.0101 / 0.0715 	 p = 0.05 	 avg = 0.00 	 % = 1.0812 / +8.1228
0.007500 / 0.007500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 7 / 15 / 0.4667 	 h = -0.0101 / 0.0717 	 p = 0.04 	 avg = 0.00 	 % = 1.0693 / +6.9260
0.007500 / 0.007500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 28 / 5 / 23 / 0.2174 	 h = -0.0101 / 0.0874 	 p = 0.02 	 avg = 0.00 	 % = 1.0308 / +3.0845
0.008000 / 0.008000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 7 / 15 / 0.4667 	 h = -0.0101 / 0.0718 	 p = 0.04 	 avg = 0.00 	 % = 1.0700 / +7.0035
0.008000 / 0.008000 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 28 / 5 / 23 / 0.2174 	 h = -0.0101 / 0.0874 	 p = 0.02 	 avg = 0.00 	 % = 1.0330 / +3.2976
0.008500 / 0.008500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 7 / 15 / 0.4667 	 h = -0.0101 / 0.0719 	 p = 0.04 	 avg = 0.00 	 % = 1.0702 / +7.0224
0.008500 / 0.008500 / 0.015000 	 t = 0.0000 / 0.0100 	 c = 28 / 5 / 23 / 0.2174 	 h = -0.0101 / 0.0874 	 p = 0.02 	 avg = 0.00 	 % = 1.0345 / +3.4485
0.009000 / 0.009000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 6 / 16 / 0.3750 	 h = -0.0101 / 0.0721 	 p = 0.03 	 avg = 0.00 	 % = 1.0537 / +5.3698
0.009500 / 0.009500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 22 / 6 / 16 / 0.3750 	 h = -0.0101 / 0.0723 	 p = 0.03 	 avg = 0.00 	 % = 1.0547 / +5.4665
0.012000 / 0.012000 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 93 / 36 / 57 / 0.6316 	 h = -0.0101 / 0.1002 	 p = 0.01 	 avg = 0.00 	 % = 1.0179 / +1.7930
0.012000 / 0.012000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 93 / 36 / 57 / 0.6316 	 h = -0.0101 / 0.1002 	 p = 0.01 	 avg = 0.00 	 % = 1.0174 / +1.7376
0.012000 / 0.012000 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 93 / 36 / 57 / 0.6316 	 h = -0.0101 / 0.1002 	 p = 0.00 	 avg = 0.00 	 % = 1.0075 / +0.7546
0.012000 / 0.012000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 93 / 36 / 57 / 0.6316 	 h = -0.0101 / 0.1002 	 p = 0.00 	 avg = 0.00 	 % = 1.0083 / +0.8263
0.012000 / 0.012000 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 93 / 36 / 57 / 0.6316 	 h = -0.0101 / 0.1002 	 p = 0.00 	 avg = 0.00 	 % = 1.0086 / +0.8558
0.017000 / 0.017000 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 101 / 32 / 69 / 0.4638 	 h = -0.0101 / 0.1012 	 p = 0.01 	 avg = 0.00 	 % = 1.0161 / +1.6057
0.017000 / 0.017000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 101 / 37 / 64 / 0.5781 	 h = -0.0101 / 0.1028 	 p = 0.06 	 avg = 0.00 	 % = 1.1016 / +10.1618
0.017000 / 0.017000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 109 / 40 / 69 / 0.5797 	 h = -0.0101 / 0.0960 	 p = 0.01 	 avg = 0.00 	 % = 1.0260 / +2.5955
0.017500 / 0.017500 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 103 / 37 / 66 / 0.5606 	 h = -0.0101 / 0.1031 	 p = 0.03 	 avg = 0.00 	 % = 1.0374 / +3.7432
0.018000 / 0.018000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 107 / 39 / 68 / 0.5735 	 h = -0.0101 / 0.1031 	 p = 0.03 	 avg = 0.00 	 % = 1.0506 / +5.0578
