
2022-05-10  00.54.41    EMA2    buyOrSell = 2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0150 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0269
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0200 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0211
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0250 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0173
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0300 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0147
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0350 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0128
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0400 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0113
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0450 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0101
sma = 12 / 6 	 limit = 0.0100 / 0.0100 / 0.0500 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0092
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0100 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0565
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0150 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0408
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0200 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0320
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0250 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0263
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0300 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0223
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0350 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0193
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0400 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0171
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0450 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0153
sma = 12 / 6 	 limit = 0.0100 / 0.0150 / 0.0500 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0139
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0100 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0758
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0150 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0547
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0200 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0428
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0250 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0352
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0300 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0298
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0350 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0259
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0400 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0229
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0450 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0205
sma = 12 / 6 	 limit = 0.0100 / 0.0200 / 0.0500 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0186
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0100 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0950
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0150 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0686
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0200 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0537
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0250 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0441
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0300 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0374
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0350 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0325
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0400 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0287
sma = 12 / 6 	 limit = 0.0100 / 0.0250 / 0.0450 	 count = 1 / 1 / 0 / 1.00 	 % = 1.0257
