
2022-05-12  00.26.34    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

9828 loaded. (6 days)
0.004500 / 0.004500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 14 / 3 / 11 / 0.2727 	 h = -0.0101 / 0.0681 	 p = 0.00 	 avg = 0.00 	 % = 1.0100 / +0.9968
0.004500 / 0.004500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 14 / 3 / 11 / 0.2727 	 h = -0.0101 / 0.0715 	 p = 0.00 	 avg = 0.00 	 % = 1.0093 / +0.9254
0.004500 / 0.004500 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 14 / 3 / 11 / 0.2727 	 h = -0.0101 / 0.0741 	 p = 0.01 	 avg = 0.00 	 % = 1.0199 / +1.9946
0.004500 / 0.004500 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 16 / 4 / 12 / 0.3333 	 h = -0.0101 / 0.0749 	 p = 0.03 	 avg = 0.00 	 % = 1.0483 / +4.8320
0.004500 / 0.004500 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 16 / 3 / 13 / 0.2308 	 h = -0.0101 / 0.0749 	 p = 0.00 	 avg = 0.00 	 % = 1.0107 / +1.0710
0.005000 / 0.005000 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 16 / 3 / 13 / 0.2308 	 h = -0.0101 / 0.0743 	 p = 0.00 	 avg = 0.00 	 % = 1.0023 / +0.2300
0.005500 / 0.005500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 18 / 6 / 12 / 0.5000 	 h = -0.0101 / 0.0698 	 p = 0.03 	 avg = 0.00 	 % = 1.0589 / +5.8878
0.005500 / 0.005500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0763 	 p = 0.03 	 avg = 0.00 	 % = 1.0594 / +5.9371
0.005500 / 0.005500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0812 	 p = 0.05 	 avg = 0.00 	 % = 1.0730 / +7.2991
0.006000 / 0.006000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 18 / 6 / 12 / 0.5000 	 h = -0.0101 / 0.0700 	 p = 0.04 	 avg = 0.00 	 % = 1.0702 / +7.0233
0.006000 / 0.006000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 6 / 12 / 0.5000 	 h = -0.0101 / 0.0765 	 p = 0.08 	 avg = 0.00 	 % = 1.1424 / +14.2354
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 18 / 3 / 15 / 0.2000 	 h = -0.0101 / 0.0816 	 p = 0.00 	 avg = 0.00 	 % = 1.0040 / +0.4038
0.006500 / 0.006500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0702 	 p = 0.02 	 avg = 0.00 	 % = 1.0475 / +4.7453
0.006500 / 0.006500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0767 	 p = 0.07 	 avg = 0.00 	 % = 1.1159 / +11.5867
0.007000 / 0.007000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 20 / 7 / 13 / 0.5385 	 h = -0.0101 / 0.1601 	 p = 0.15 	 avg = 0.01 	 % = 1.2695 / +26.9502
0.007000 / 0.007000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 20 / 9 / 11 / 0.8182 	 h = -0.0101 / 0.1408 	 p = 0.19 	 avg = 0.01 	 % = 1.3307 / +33.0680
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.1468 	 p = 0.11 	 avg = 0.01 	 % = 1.1931 / +19.3074
0.007000 / 0.007000 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 22 / 6 / 16 / 0.3750 	 h = -0.0101 / 0.1545 	 p = 0.11 	 avg = 0.00 	 % = 1.1856 / +18.5584
0.007000 / 0.007000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.1576 	 p = 0.08 	 avg = 0.00 	 % = 1.1391 / +13.9076
0.007000 / 0.007000 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 26 / 6 / 20 / 0.3000 	 h = -0.0101 / 0.1069 	 p = 0.06 	 avg = 0.00 	 % = 1.0988 / +9.8806
0.007000 / 0.007000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 26 / 7 / 19 / 0.3684 	 h = -0.0101 / 0.1088 	 p = 0.09 	 avg = 0.00 	 % = 1.1532 / +15.3165
0.007000 / 0.007000 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 26 / 6 / 20 / 0.3000 	 h = -0.0101 / 0.0823 	 p = 0.04 	 avg = 0.00 	 % = 1.0665 / +6.6549
0.007000 / 0.007000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 26 / 6 / 20 / 0.3000 	 h = -0.0101 / 0.0837 	 p = 0.04 	 avg = 0.00 	 % = 1.0693 / +6.9290
0.007000 / 0.007000 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0842 	 p = 0.04 	 avg = 0.00 	 % = 1.0542 / +5.4216
0.007000 / 0.007000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.03 	 avg = 0.00 	 % = 1.0485 / +4.8476
0.007000 / 0.007000 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.03 	 avg = 0.00 	 % = 1.0528 / +5.2774
0.007000 / 0.007000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0563 / +5.6279
0.007000 / 0.007000 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0576 / +5.7612
0.007000 / 0.007000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.115000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
