
2022-05-10  19.30.13    BenchmarkSAR    bin = 5    fee = 0.0015 - 0.002    2022-05-04 ~  (6) days

29124 loaded. (6 days)
0.001000 / 0.001000 / 0.014000 	 t = 0.0000 / 0.0200 	 c = 14 / 5 / 9 / 0.5556 	 h = -0.0203 / 0.0910 	 p = 0.05 	 avg = 0.00 	 % = 1.0811 / +4.0559
0.001000 / 0.001000 / 0.015000 	 t = 0.0000 / 0.0200 	 c = 14 / 5 / 9 / 0.5556 	 h = -0.0204 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0903 / +4.5153
0.001000 / 0.001000 / 0.016000 	 t = 0.0000 / 0.0200 	 c = 14 / 5 / 9 / 0.5556 	 h = -0.0204 / 0.0954 	 p = 0.06 	 avg = 0.00 	 % = 1.1019 / +5.0970
0.001000 / 0.001000 / 0.017000 	 t = 0.0000 / 0.0200 	 c = 13 / 5 / 8 / 0.6250 	 h = -0.0203 / 0.0940 	 p = 0.08 	 avg = 0.01 	 % = 1.1278 / +6.3899
0.001000 / 0.001000 / 0.018000 	 t = 0.0000 / 0.0200 	 c = 13 / 5 / 8 / 0.6250 	 h = -0.0203 / 0.0978 	 p = 0.09 	 avg = 0.01 	 % = 1.1576 / +7.8793
0.001000 / 0.001000 / 0.019000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0204 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0790 / +3.9500
0.001000 / 0.001000 / 0.020000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0204 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0789 / +3.9464
0.001000 / 0.001000 / 0.021000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0204 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0791 / +3.9530
0.001000 / 0.001000 / 0.022000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0791 / +3.9547
0.001000 / 0.001000 / 0.023000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0791 / +3.9565
0.001000 / 0.001000 / 0.024000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0791 / +3.9554
0.001000 / 0.001000 / 0.025000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0940 	 p = 0.05 	 avg = 0.00 	 % = 1.0791 / +3.9549
0.001000 / 0.001000 / 0.026000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.027000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.028000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.029000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.030000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.031000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.032000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.033000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.034000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.035000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.036000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.037000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.038000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.039000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.040000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.041000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.042000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.043000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.044000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.045000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.046000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.047000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
0.001000 / 0.001000 / 0.048000 	 t = 0.0000 / 0.0200 	 c = 15 / 5 / 10 / 0.5000 	 h = -0.0203 / 0.0958 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +4.5468
