
2022-05-12  00.38.28    BenchmarkSAR    bin = 1    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

147420 loaded. (6 days)
0.002500 / 0.002500 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 130 / 46 / 84 / 0.5476 	 h = -0.0101 / 0.1017 	 p = 0.02 	 avg = 0.00 	 % = 1.0646 / +6.4621
0.002500 / 0.002500 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 142 / 53 / 89 / 0.5955 	 h = -0.0101 / 0.1068 	 p = 0.05 	 avg = 0.00 	 % = 1.1184 / +11.8423
0.002500 / 0.002500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 147 / 53 / 94 / 0.5638 	 h = -0.0101 / 0.1144 	 p = 0.00 	 avg = 0.00 	 % = 1.0366 / +3.6619
0.002500 / 0.002500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 152 / 55 / 97 / 0.5670 	 h = -0.0101 / 0.1177 	 p = 0.02 	 avg = 0.00 	 % = 1.0663 / +6.6250
0.002500 / 0.002500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 151 / 57 / 94 / 0.6064 	 h = -0.0101 / 0.1247 	 p = 0.04 	 avg = 0.00 	 % = 1.1173 / +11.7303
0.002500 / 0.002500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 153 / 57 / 96 / 0.5938 	 h = -0.0101 / 0.1287 	 p = 0.05 	 avg = 0.00 	 % = 1.1308 / +13.0761
0.002500 / 0.002500 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 155 / 57 / 98 / 0.5816 	 h = -0.0101 / 0.1292 	 p = 0.02 	 avg = 0.00 	 % = 1.0728 / +7.2770
0.002500 / 0.002500 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 155 / 56 / 99 / 0.5657 	 h = -0.0101 / 0.1330 	 p = 0.00 	 avg = 0.00 	 % = 1.0392 / +3.9177
0.002500 / 0.002500 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 155 / 57 / 98 / 0.5816 	 h = -0.0101 / 0.1359 	 p = 0.01 	 avg = 0.00 	 % = 1.0528 / +5.2849
0.002500 / 0.002500 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 155 / 57 / 98 / 0.5816 	 h = -0.0101 / 0.1380 	 p = 0.01 	 avg = 0.00 	 % = 1.0560 / +5.6033
0.002500 / 0.002500 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 155 / 57 / 98 / 0.5816 	 h = -0.0101 / 0.1381 	 p = 0.01 	 avg = 0.00 	 % = 1.0564 / +5.6400
