
2022-05-09  23.37.28    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.003    2022-05-04 ~  (5) days

9654 loaded. (5 days)
0.005000 / 0.005000 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 15 / 4 / 11 / 0.3636 	 h = -0.0101 / 0.0743 	 p = 0.04 	 avg = 0.00 	 % = 1.0597 / +5.9725
0.005500 / 0.005500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 17 / 5 / 12 / 0.4167 	 h = -0.0101 / 0.0763 	 p = 0.02 	 avg = 0.00 	 % = 1.0384 / +3.8418
0.005500 / 0.005500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 17 / 6 / 11 / 0.5455 	 h = -0.0101 / 0.0812 	 p = 0.08 	 avg = 0.00 	 % = 1.1375 / +13.7513
0.006000 / 0.006000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 17 / 6 / 11 / 0.5455 	 h = -0.0101 / 0.0765 	 p = 0.08 	 avg = 0.00 	 % = 1.1250 / +12.5005
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 17 / 5 / 12 / 0.4167 	 h = -0.0101 / 0.0816 	 p = 0.06 	 avg = 0.00 	 % = 1.0947 / +9.4691
0.006500 / 0.006500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0618 	 p = 0.00 	 avg = 0.00 	 % = 1.0007 / +0.0666
0.006500 / 0.006500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0767 	 p = 0.07 	 avg = 0.00 	 % = 1.1208 / +12.0761
0.006500 / 0.006500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 19 / 6 / 13 / 0.4615 	 h = -0.0101 / 0.0817 	 p = 0.05 	 avg = 0.00 	 % = 1.0909 / +9.0850
0.006500 / 0.006500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 21 / 6 / 15 / 0.4000 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0625 / +6.2499
0.007000 / 0.007000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0621 	 p = 0.00 	 avg = 0.00 	 % = 1.0013 / +0.1272
0.007000 / 0.007000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 7 / 11 / 0.6364 	 h = -0.0101 / 0.0768 	 p = 0.04 	 avg = 0.00 	 % = 1.0713 / +7.1260
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0819 	 p = 0.00 	 avg = 0.00 	 % = 1.0136 / +1.3551
0.007500 / 0.007500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0648 	 p = 0.00 	 avg = 0.00 	 % = 1.0040 / +0.3952
0.007500 / 0.007500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 8 / 10 / 0.8000 	 h = -0.0101 / 0.0770 	 p = 0.06 	 avg = 0.00 	 % = 1.0927 / +9.2723
0.007500 / 0.007500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0822 	 p = 0.01 	 avg = 0.00 	 % = 1.0217 / +2.1681
0.007500 / 0.007500 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0832 	 p = 0.00 	 avg = 0.00 	 % = 1.0072 / +0.7154
0.007500 / 0.007500 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0811 	 p = 0.00 	 avg = 0.00 	 % = 1.0071 / +0.7124
0.007500 / 0.007500 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0817 	 p = 0.00 	 avg = 0.00 	 % = 1.0078 / +0.7795
0.007500 / 0.007500 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0817 	 p = 0.00 	 avg = 0.00 	 % = 1.0083 / +0.8340
0.008000 / 0.008000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0648 	 p = 0.00 	 avg = 0.00 	 % = 1.0045 / +0.4549
0.008000 / 0.008000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 7 / 11 / 0.6364 	 h = -0.0101 / 0.0770 	 p = 0.05 	 avg = 0.00 	 % = 1.0796 / +7.9550
0.008000 / 0.008000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0823 	 p = 0.01 	 avg = 0.00 	 % = 1.0262 / +2.6235
0.008000 / 0.008000 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 20 / 5 / 15 / 0.3333 	 h = -0.0101 / 0.0836 	 p = 0.00 	 avg = 0.00 	 % = 1.0091 / +0.9096
0.008000 / 0.008000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0832 	 p = 0.01 	 avg = 0.00 	 % = 1.0181 / +1.8147
0.008000 / 0.008000 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0836 	 p = 0.01 	 avg = 0.00 	 % = 1.0180 / +1.8021
0.008000 / 0.008000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0856 	 p = 0.01 	 avg = 0.00 	 % = 1.0202 / +2.0223
0.008500 / 0.008500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0656 	 p = 0.00 	 avg = 0.00 	 % = 1.0055 / +0.5451
0.008500 / 0.008500 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 19 / 5 / 14 / 0.3571 	 h = -0.0101 / 0.0707 	 p = 0.00 	 avg = 0.00 	 % = 1.0082 / +0.8200
0.008500 / 0.008500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 7 / 11 / 0.6364 	 h = -0.0101 / 0.0772 	 p = 0.05 	 avg = 0.00 	 % = 1.0836 / +8.3607
0.008500 / 0.008500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 22 / 6 / 16 / 0.3750 	 h = -0.0101 / 0.0839 	 p = 0.04 	 avg = 0.00 	 % = 1.0643 / +6.4279
0.008500 / 0.008500 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0833 	 p = 0.02 	 avg = 0.00 	 % = 1.0296 / +2.9588
0.008500 / 0.008500 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 22 / 4 / 18 / 0.2222 	 h = -0.0101 / 0.0844 	 p = 0.00 	 avg = 0.00 	 % = 1.0033 / +0.3271
0.008500 / 0.008500 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 22 / 4 / 18 / 0.2222 	 h = -0.0101 / 0.0865 	 p = 0.00 	 avg = 0.00 	 % = 1.0070 / +0.7018
0.009000 / 0.009000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0656 	 p = 0.00 	 avg = 0.00 	 % = 1.0058 / +0.5761
0.009000 / 0.009000 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 6 / 12 / 0.5000 	 h = -0.0101 / 0.0772 	 p = 0.01 	 avg = 0.00 	 % = 1.0185 / +1.8496
0.009000 / 0.009000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 18 / 5 / 13 / 0.3846 	 h = -0.0101 / 0.0824 	 p = 0.02 	 avg = 0.00 	 % = 1.0298 / +2.9775
0.009000 / 0.009000 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 22 / 6 / 16 / 0.3750 	 h = -0.0101 / 0.0840 	 p = 0.04 	 avg = 0.00 	 % = 1.0699 / +6.9881
0.009000 / 0.009000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 22 / 4 / 18 / 0.2222 	 h = -0.0101 / 0.0833 	 p = 0.00 	 avg = 0.00 	 % = 1.0067 / +0.6717
0.009000 / 0.009000 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 22 / 4 / 18 / 0.2222 	 h = -0.0101 / 0.0852 	 p = 0.01 	 avg = 0.00 	 % = 1.0118 / +1.1827
0.009000 / 0.009000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 22 / 4 / 18 / 0.2222 	 h = -0.0101 / 0.0873 	 p = 0.01 	 avg = 0.00 	 % = 1.0157 / +1.5735
0.009500 / 0.009500 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 8 / 3 / 5 / 0.6000 	 h = -0.0101 / 0.0657 	 p = 0.00 	 avg = 0.00 	 % = 1.0061 / +0.6070
0.009500 / 0.009500 / 0.035000 	 t = 0.0000 / 0.0100 	 c = 18 / 6 / 12 / 0.5000 	 h = -0.0101 / 0.0775 	 p = 0.01 	 avg = 0.00 	 % = 1.0199 / +1.9943
0.009500 / 0.009500 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0827 	 p = 0.05 	 avg = 0.00 	 % = 1.0782 / +7.8220
0.009500 / 0.009500 / 0.045000 	 t = 0.0000 / 0.0100 	 c = 22 / 6 / 16 / 0.3750 	 h = -0.0101 / 0.0842 	 p = 0.04 	 avg = 0.00 	 % = 1.0714 / +7.1423
0.009500 / 0.009500 / 0.055000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.0860 	 p = 0.03 	 avg = 0.00 	 % = 1.0412 / +4.1225
0.009500 / 0.009500 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 26 / 6 / 20 / 0.3000 	 h = -0.0101 / 0.0908 	 p = 0.00 	 avg = 0.00 	 % = 1.0145 / +1.4495
0.009500 / 0.009500 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 26 / 6 / 20 / 0.3000 	 h = -0.0101 / 0.0921 	 p = 0.01 	 avg = 0.00 	 % = 1.0208 / +2.0804
