
2022-05-12  00.42.08    BenchmarkSAR    bin = 1    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

147420 loaded. (6 days)
0.007000 / 0.007000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 281 / 124 / 157 / 0.7898 	 h = -0.0101 / 0.1127 	 p = 0.07 	 avg = 0.00 	 % = 1.1466 / +14.6612
0.007000 / 0.007000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 296 / 128 / 168 / 0.7619 	 h = -0.0101 / 0.1214 	 p = 0.11 	 avg = 0.00 	 % = 1.2416 / +24.1625
0.007000 / 0.007000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 306 / 130 / 176 / 0.7386 	 h = -0.0101 / 0.1250 	 p = 0.01 	 avg = 0.00 	 % = 1.0793 / +7.9338
0.007000 / 0.007000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 310 / 132 / 178 / 0.7416 	 h = -0.0101 / 0.1256 	 p = 0.01 	 avg = 0.00 	 % = 1.0523 / +5.2320
0.008000 / 0.008000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 251 / 97 / 154 / 0.6299 	 h = -0.0101 / 0.1248 	 p = 0.02 	 avg = 0.00 	 % = 1.0885 / +8.8471
0.008000 / 0.008000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 303 / 123 / 180 / 0.6833 	 h = -0.0101 / 0.1129 	 p = 0.01 	 avg = 0.00 	 % = 1.0569 / +5.6893
0.009000 / 0.009000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 346 / 146 / 200 / 0.7300 	 h = -0.0101 / 0.1220 	 p = 0.01 	 avg = 0.00 	 % = 1.0622 / +6.2207
0.010000 / 0.010000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 259 / 103 / 156 / 0.6603 	 h = -0.0101 / 0.1253 	 p = 0.04 	 avg = 0.00 	 % = 1.1185 / +11.8498
0.010000 / 0.010000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 366 / 160 / 206 / 0.7767 	 h = -0.0101 / 0.1209 	 p = 0.00 	 avg = 0.00 	 % = 1.0438 / +4.3777
0.011000 / 0.011000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 261 / 106 / 155 / 0.6839 	 h = -0.0101 / 0.1256 	 p = 0.07 	 avg = 0.00 	 % = 1.1651 / +16.5091
0.011000 / 0.011000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 313 / 133 / 180 / 0.7389 	 h = -0.0101 / 0.1127 	 p = 0.06 	 avg = 0.00 	 % = 1.1531 / +15.3112
0.012000 / 0.012000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 271 / 107 / 164 / 0.6524 	 h = -0.0101 / 0.1257 	 p = 0.03 	 avg = 0.00 	 % = 1.1043 / +10.4337
0.012000 / 0.012000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 325 / 137 / 188 / 0.7287 	 h = -0.0101 / 0.1128 	 p = 0.02 	 avg = 0.00 	 % = 1.0890 / +8.8952
0.013000 / 0.013000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 279 / 111 / 168 / 0.6607 	 h = -0.0101 / 0.1260 	 p = 0.01 	 avg = 0.00 	 % = 1.0732 / +7.3237
