
2022-05-12  01.18.37    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

9828 loaded. (6 days)
0.006000 / 0.006000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 18 / 6 / 12 / 0.5000 	 h = -0.0101 / 0.0700 	 p = 0.04 	 avg = 0.00 	 % = 1.0702 / +7.0233
0.006000 / 0.006000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 18 / 3 / 15 / 0.2000 	 h = -0.0101 / 0.0816 	 p = 0.00 	 avg = 0.00 	 % = 1.0040 / +0.4038
0.007000 / 0.007000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 20 / 7 / 13 / 0.5385 	 h = -0.0101 / 0.1601 	 p = 0.15 	 avg = 0.01 	 % = 1.2695 / +26.9502
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.1468 	 p = 0.11 	 avg = 0.01 	 % = 1.1931 / +19.3074
0.007000 / 0.007000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 22 / 5 / 17 / 0.2941 	 h = -0.0101 / 0.1576 	 p = 0.08 	 avg = 0.00 	 % = 1.1391 / +13.9076
0.007000 / 0.007000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 26 / 7 / 19 / 0.3684 	 h = -0.0101 / 0.1088 	 p = 0.09 	 avg = 0.00 	 % = 1.1532 / +15.3165
0.007000 / 0.007000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 26 / 6 / 20 / 0.3000 	 h = -0.0101 / 0.0837 	 p = 0.04 	 avg = 0.00 	 % = 1.0693 / +6.9290
0.007000 / 0.007000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.03 	 avg = 0.00 	 % = 1.0485 / +4.8476
0.007000 / 0.007000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0563 / +5.6279
0.007000 / 0.007000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.200000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.210000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.220000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.230000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.240000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.250000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.260000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.270000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.280000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.290000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.300000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.310000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.320000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.330000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.340000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.350000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.360000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.370000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.380000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.390000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
0.007000 / 0.007000 / 0.400000 	 t = 0.0000 / 0.0100 	 c = 28 / 6 / 22 / 0.2727 	 h = -0.0101 / 0.0832 	 p = 0.04 	 avg = 0.00 	 % = 1.0581 / +5.8110
