
2022-05-09  23.16.25    BenchmarkSAR    bin = 15    fee = 0.0015 - 0.003    2022-03-16 ~  (54) days

9654 loaded. (54 days)
0.004500 / 0.004500 / 0.050000 	 t = 0.0000 / 0.0200 	 c = 135 / 53 / 82 / 0.6463 	 h = -0.0204 / 0.1743 	 p = 0.10 	 avg = 0.00 	 % = 1.2033 / +10.1673
0.004500 / 0.004500 / 0.055000 	 t = 0.0000 / 0.0200 	 c = 137 / 54 / 83 / 0.6506 	 h = -0.0204 / 0.1767 	 p = 0.15 	 avg = 0.00 	 % = 1.2632 / +13.1600
0.004500 / 0.004500 / 0.060000 	 t = 0.0000 / 0.0200 	 c = 137 / 56 / 81 / 0.6914 	 h = -0.0204 / 0.1822 	 p = 0.26 	 avg = 0.00 	 % = 1.4627 / +23.1331
0.004500 / 0.004500 / 0.065000 	 t = 0.0000 / 0.0200 	 c = 139 / 57 / 82 / 0.6951 	 h = -0.0204 / 0.1830 	 p = 0.25 	 avg = 0.00 	 % = 1.4438 / +22.1897
0.004500 / 0.004500 / 0.070000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.26 	 avg = 0.00 	 % = 1.4629 / +23.1434
0.004500 / 0.004500 / 0.075000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.27 	 avg = 0.00 	 % = 1.4785 / +23.9260
0.004500 / 0.004500 / 0.080000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.27 	 avg = 0.00 	 % = 1.4884 / +24.4216
0.004500 / 0.004500 / 0.085000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.27 	 avg = 0.00 	 % = 1.4918 / +24.5883
0.004500 / 0.004500 / 0.090000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.4989 / +24.9473
0.004500 / 0.004500 / 0.095000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5031 / +25.1549
0.004500 / 0.004500 / 0.100000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5069 / +25.3439
0.004500 / 0.004500 / 0.105000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5095 / +25.4762
0.004500 / 0.004500 / 0.110000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.115000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.120000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.125000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.130000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.135000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.140000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.145000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.150000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.155000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.160000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.165000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.170000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.175000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.180000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.185000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.190000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.195000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.004500 / 0.004500 / 0.200000 	 t = 0.0000 / 0.0200 	 c = 139 / 58 / 81 / 0.7160 	 h = -0.0204 / 0.1830 	 p = 0.28 	 avg = 0.00 	 % = 1.5103 / +25.5142
0.005000 / 0.005000 / 0.035000 	 t = 0.0000 / 0.0200 	 c = 141 / 55 / 86 / 0.6395 	 h = -0.0204 / 0.1630 	 p = 0.00 	 avg = 0.00 	 % = 1.0393 / +1.9635
0.005000 / 0.005000 / 0.040000 	 t = 0.0000 / 0.0200 	 c = 145 / 59 / 86 / 0.6860 	 h = -0.0204 / 0.1690 	 p = 0.07 	 avg = 0.00 	 % = 1.1367 / +6.8325
0.005000 / 0.005000 / 0.045000 	 t = 0.0000 / 0.0200 	 c = 153 / 64 / 89 / 0.7191 	 h = -0.0204 / 0.1678 	 p = 0.00 	 avg = 0.00 	 % = 1.0540 / +2.6995
0.005000 / 0.005000 / 0.065000 	 t = 0.0000 / 0.0200 	 c = 161 / 64 / 97 / 0.6598 	 h = -0.0204 / 0.1879 	 p = 0.02 	 avg = 0.00 	 % = 1.0938 / +4.6876
0.005000 / 0.005000 / 0.070000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.04 	 avg = 0.00 	 % = 1.1167 / +5.8331
0.005000 / 0.005000 / 0.075000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.05 	 avg = 0.00 	 % = 1.1290 / +6.4484
0.005000 / 0.005000 / 0.080000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.05 	 avg = 0.00 	 % = 1.1388 / +6.9407
0.005000 / 0.005000 / 0.085000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.06 	 avg = 0.00 	 % = 1.1423 / +7.1151
0.005000 / 0.005000 / 0.090000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.06 	 avg = 0.00 	 % = 1.1499 / +7.4930
0.005000 / 0.005000 / 0.095000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.06 	 avg = 0.00 	 % = 1.1549 / +7.7458
0.005000 / 0.005000 / 0.100000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1587 / +7.9370
0.005000 / 0.005000 / 0.105000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.110000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.115000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.120000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.125000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.130000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.135000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.140000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.145000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.150000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.155000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.160000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.165000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.170000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.175000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
0.005000 / 0.005000 / 0.180000 	 t = 0.0000 / 0.0200 	 c = 161 / 65 / 96 / 0.6771 	 h = -0.0204 / 0.1911 	 p = 0.07 	 avg = 0.00 	 % = 1.1608 / +8.0387
