
2022-05-09  23.25.14    BenchmarkSAR    bin = 60    fee = 0.0015 - 0.003    2022-03-16 ~  (54) days

2414 loaded. (54 days)
0.004000 / 0.004000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 27 / 5 / 22 / 0.2273 	 h = -0.0101 / 0.1459 	 p = 0.02 	 avg = 0.00 	 % = 1.0440 / +4.3973
0.004000 / 0.004000 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 31 / 5 / 26 / 0.1923 	 h = -0.0101 / 0.1586 	 p = 0.00 	 avg = 0.00 	 % = 1.0189 / +1.8913
0.004500 / 0.004500 / 0.025000 	 t = 0.0000 / 0.0100 	 c = 31 / 5 / 26 / 0.1923 	 h = -0.0101 / 0.1609 	 p = 0.02 	 avg = 0.00 	 % = 1.0465 / +4.6472
0.006000 / 0.006000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 41 / 10 / 31 / 0.3226 	 h = -0.0101 / 0.1265 	 p = 0.07 	 avg = 0.00 	 % = 1.1350 / +13.4984
0.006000 / 0.006000 / 0.065000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1288 	 p = 0.04 	 avg = 0.00 	 % = 1.0873 / +8.7328
0.006000 / 0.006000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1295 	 p = 0.04 	 avg = 0.00 	 % = 1.0925 / +9.2487
0.006000 / 0.006000 / 0.075000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.04 	 avg = 0.00 	 % = 1.0955 / +9.5544
0.006000 / 0.006000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.04 	 avg = 0.00 	 % = 1.0967 / +9.6676
0.006000 / 0.006000 / 0.085000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.095000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.105000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.115000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.125000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.135000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.145000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.155000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.165000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.175000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.185000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
0.006000 / 0.006000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 45 / 10 / 35 / 0.2857 	 h = -0.0101 / 0.1302 	 p = 0.05 	 avg = 0.00 	 % = 1.0970 / +9.6982
