
2022-05-12  00.46.53    BenchmarkSAR    bin = 5    fee = 0.0015 - 0.002    2022-05-05 ~  (6) days

29484 loaded. (6 days)
0.001000 / 0.001000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 16 / 4 / 12 / 0.3333 	 h = -0.0100 / 0.0691 	 p = 0.02 	 avg = 0.00 	 % = 1.0419 / +4.1861
0.002000 / 0.002000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0700 	 p = 0.03 	 avg = 0.00 	 % = 1.0612 / +6.1216
0.002000 / 0.002000 / 0.020000 	 t = 0.0000 / 0.0100 	 c = 28 / 5 / 23 / 0.2174 	 h = -0.0101 / 0.0851 	 p = 0.01 	 avg = 0.00 	 % = 1.0156 / +1.5635
0.002000 / 0.002000 / 0.030000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.01 	 avg = 0.00 	 % = 1.0292 / +2.9188
0.002000 / 0.002000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0395 / +3.9468
0.002000 / 0.002000 / 0.050000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.002000 / 0.002000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 32 / 7 / 25 / 0.2800 	 h = -0.0101 / 0.0938 	 p = 0.02 	 avg = 0.00 	 % = 1.0412 / +4.1217
0.003000 / 0.003000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0101 / 0.1601 	 p = 0.20 	 avg = 0.01 	 % = 1.3625 / +36.2479
0.003000 / 0.003000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 36 / 7 / 29 / 0.2414 	 h = -0.0101 / 0.1071 	 p = 0.00 	 avg = 0.00 	 % = 1.0156 / +1.5642
0.004000 / 0.004000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 7 / 13 / 0.5385 	 h = -0.0101 / 0.0707 	 p = 0.08 	 avg = 0.00 	 % = 1.1355 / +13.5533
0.005000 / 0.005000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0101 / 0.1636 	 p = 0.19 	 avg = 0.01 	 % = 1.3564 / +35.6426
0.006000 / 0.006000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0101 / 0.1654 	 p = 0.20 	 avg = 0.01 	 % = 1.3618 / +36.1765
0.007000 / 0.007000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0101 / 0.1669 	 p = 0.20 	 avg = 0.01 	 % = 1.3667 / +36.6713
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 55 / 17 / 38 / 0.4474 	 h = -0.0101 / 0.1120 	 p = 0.02 	 avg = 0.00 	 % = 1.0416 / +4.1607
0.008000 / 0.008000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 7 / 13 / 0.5385 	 h = -0.0101 / 0.0718 	 p = 0.07 	 avg = 0.00 	 % = 1.1288 / +12.8760
0.009000 / 0.009000 / 0.010000 	 t = 0.0000 / 0.0100 	 c = 20 / 6 / 14 / 0.4286 	 h = -0.0101 / 0.0721 	 p = 0.06 	 avg = 0.00 	 % = 1.1112 / +11.1209
0.010000 / 0.010000 / 0.040000 	 t = 0.0000 / 0.0100 	 c = 67 / 22 / 45 / 0.4889 	 h = -0.0101 / 0.1120 	 p = 0.00 	 avg = 0.00 	 % = 1.0288 / +2.8814
0.010000 / 0.010000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 88 / 28 / 60 / 0.4667 	 h = -0.0101 / 0.1049 	 p = 0.00 	 avg = 0.00 	 % = 1.0271 / +2.7109
0.010000 / 0.010000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 90 / 29 / 61 / 0.4754 	 h = -0.0101 / 0.1049 	 p = 0.03 	 avg = 0.00 	 % = 1.0717 / +7.1710
0.010000 / 0.010000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 90 / 29 / 61 / 0.4754 	 h = -0.0101 / 0.1049 	 p = 0.02 	 avg = 0.00 	 % = 1.0598 / +5.9788
0.010000 / 0.010000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 90 / 29 / 61 / 0.4754 	 h = -0.0101 / 0.1049 	 p = 0.02 	 avg = 0.00 	 % = 1.0619 / +6.1936
0.010000 / 0.010000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 90 / 29 / 61 / 0.4754 	 h = -0.0101 / 0.1049 	 p = 0.02 	 avg = 0.00 	 % = 1.0629 / +6.2858
0.010000 / 0.010000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 90 / 29 / 61 / 0.4754 	 h = -0.0101 / 0.1049 	 p = 0.02 	 avg = 0.00 	 % = 1.0632 / +6.3228
0.010000 / 0.010000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 90 / 29 / 61 / 0.4754 	 h = -0.0101 / 0.1049 	 p = 0.02 	 avg = 0.00 	 % = 1.0636 / +6.3598
0.010000 / 0.010000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 90 / 29 / 61 / 0.4754 	 h = -0.0101 / 0.1049 	 p = 0.02 	 avg = 0.00 	 % = 1.0636 / +6.3598
0.011000 / 0.011000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 90 / 32 / 58 / 0.5517 	 h = -0.0101 / 0.0964 	 p = 0.04 	 avg = 0.00 	 % = 1.0903 / +9.0250
0.011000 / 0.011000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 90 / 33 / 57 / 0.5789 	 h = -0.0101 / 0.1006 	 p = 0.08 	 avg = 0.00 	 % = 1.1522 / +15.2164
0.011000 / 0.011000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 92 / 34 / 58 / 0.5862 	 h = -0.0101 / 0.1040 	 p = 0.08 	 avg = 0.00 	 % = 1.1671 / +16.7143
0.011000 / 0.011000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 92 / 34 / 58 / 0.5862 	 h = -0.0101 / 0.1049 	 p = 0.10 	 avg = 0.00 	 % = 1.1945 / +19.4457
0.011000 / 0.011000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.11 	 avg = 0.00 	 % = 1.2220 / +22.1950
0.011000 / 0.011000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.12 	 avg = 0.00 	 % = 1.2350 / +23.4958
0.011000 / 0.011000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.12 	 avg = 0.00 	 % = 1.2254 / +22.5429
0.011000 / 0.011000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.12 	 avg = 0.00 	 % = 1.2298 / +22.9818
0.011000 / 0.011000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.12 	 avg = 0.00 	 % = 1.2331 / +23.3052
0.011000 / 0.011000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.12 	 avg = 0.00 	 % = 1.2349 / +23.4929
0.011000 / 0.011000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.12 	 avg = 0.00 	 % = 1.2358 / +23.5790
0.011000 / 0.011000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 92 / 35 / 57 / 0.6140 	 h = -0.0101 / 0.1049 	 p = 0.12 	 avg = 0.00 	 % = 1.2360 / +23.6006
0.012000 / 0.012000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 90 / 28 / 62 / 0.4516 	 h = -0.0101 / 0.0995 	 p = 0.01 	 avg = 0.00 	 % = 1.0298 / +2.9765
0.012000 / 0.012000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 94 / 32 / 62 / 0.5161 	 h = -0.0101 / 0.0987 	 p = 0.06 	 avg = 0.00 	 % = 1.1165 / +11.6456
0.012000 / 0.012000 / 0.080000 	 t = 0.0000 / 0.0100 	 c = 94 / 33 / 61 / 0.5410 	 h = -0.0101 / 0.0916 	 p = 0.11 	 avg = 0.00 	 % = 1.2020 / +20.2036
0.012000 / 0.012000 / 0.090000 	 t = 0.0000 / 0.0100 	 c = 96 / 35 / 61 / 0.5738 	 h = -0.0101 / 0.0959 	 p = 0.13 	 avg = 0.00 	 % = 1.2518 / +25.1759
0.012000 / 0.012000 / 0.100000 	 t = 0.0000 / 0.0100 	 c = 96 / 36 / 60 / 0.6000 	 h = -0.0101 / 0.0995 	 p = 0.16 	 avg = 0.00 	 % = 1.3062 / +30.6205
0.012000 / 0.012000 / 0.110000 	 t = 0.0000 / 0.0100 	 c = 96 / 36 / 60 / 0.6000 	 h = -0.0101 / 0.1002 	 p = 0.11 	 avg = 0.00 	 % = 1.2094 / +20.9363
0.012000 / 0.012000 / 0.120000 	 t = 0.0000 / 0.0100 	 c = 96 / 36 / 60 / 0.6000 	 h = -0.0101 / 0.1002 	 p = 0.12 	 avg = 0.00 	 % = 1.2296 / +22.9628
0.012000 / 0.012000 / 0.130000 	 t = 0.0000 / 0.0100 	 c = 96 / 38 / 58 / 0.6552 	 h = -0.0101 / 0.1002 	 p = 0.18 	 avg = 0.00 	 % = 1.3540 / +35.3998
0.012000 / 0.012000 / 0.140000 	 t = 0.0000 / 0.0100 	 c = 96 / 38 / 58 / 0.6552 	 h = -0.0101 / 0.1002 	 p = 0.18 	 avg = 0.00 	 % = 1.3530 / +35.2951
0.012000 / 0.012000 / 0.150000 	 t = 0.0000 / 0.0100 	 c = 96 / 37 / 59 / 0.6271 	 h = -0.0101 / 0.1002 	 p = 0.18 	 avg = 0.00 	 % = 1.3511 / +35.1136
0.012000 / 0.012000 / 0.160000 	 t = 0.0000 / 0.0100 	 c = 96 / 37 / 59 / 0.6271 	 h = -0.0101 / 0.1002 	 p = 0.18 	 avg = 0.00 	 % = 1.3563 / +35.6310
0.012000 / 0.012000 / 0.170000 	 t = 0.0000 / 0.0100 	 c = 96 / 37 / 59 / 0.6271 	 h = -0.0101 / 0.1002 	 p = 0.18 	 avg = 0.00 	 % = 1.3505 / +35.0475
0.012000 / 0.012000 / 0.180000 	 t = 0.0000 / 0.0100 	 c = 96 / 37 / 59 / 0.6271 	 h = -0.0101 / 0.1002 	 p = 0.18 	 avg = 0.00 	 % = 1.3515 / +35.1538
0.012000 / 0.012000 / 0.190000 	 t = 0.0000 / 0.0100 	 c = 96 / 37 / 59 / 0.6271 	 h = -0.0101 / 0.1002 	 p = 0.18 	 avg = 0.00 	 % = 1.3518 / +35.1774
0.017000 / 0.017000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 106 / 39 / 67 / 0.5821 	 h = -0.0101 / 0.1028 	 p = 0.05 	 avg = 0.00 	 % = 1.0803 / +8.0262
0.018000 / 0.018000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 108 / 38 / 70 / 0.5429 	 h = -0.0101 / 0.1031 	 p = 0.02 	 avg = 0.00 	 % = 1.0200 / +1.9966
0.019000 / 0.019000 / 0.060000 	 t = 0.0000 / 0.0100 	 c = 102 / 34 / 68 / 0.5000 	 h = -0.0101 / 0.1029 	 p = 0.00 	 avg = 0.00 	 % = 1.0099 / +0.9926
0.019000 / 0.019000 / 0.070000 	 t = 0.0000 / 0.0100 	 c = 110 / 38 / 72 / 0.5278 	 h = -0.0101 / 0.1031 	 p = 0.01 	 avg = 0.00 	 % = 1.0013 / +0.1254
0.001000 / 0.001000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.050000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.060000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.080000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.090000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.100000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.110000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.120000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.130000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.140000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.150000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.160000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.170000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.180000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.001000 / 0.001000 / 0.190000 	 t = 0.0000 / 0.0150 	 c = 16 / 5 / 11 / 0.4545 	 h = -0.0152 / 0.0958 	 p = 0.06 	 avg = 0.00 	 % = 1.1053 / +7.0169
0.002000 / 0.002000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0152 / 0.1575 	 p = 0.15 	 avg = 0.01 	 % = 1.2826 / +18.8385
0.002000 / 0.002000 / 0.020000 	 t = 0.0000 / 0.0150 	 c = 28 / 8 / 20 / 0.4000 	 h = -0.0152 / 0.0851 	 p = 0.05 	 avg = 0.00 	 % = 1.0757 / +5.0455
0.002000 / 0.002000 / 0.030000 	 t = 0.0000 / 0.0150 	 c = 32 / 8 / 24 / 0.3333 	 h = -0.0152 / 0.0938 	 p = 0.00 	 avg = 0.00 	 % = 1.0144 / +0.9574
0.003000 / 0.003000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0152 / 0.1601 	 p = 0.16 	 avg = 0.01 	 % = 1.3016 / +20.1064
0.003000 / 0.003000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 36 / 10 / 26 / 0.3846 	 h = -0.0152 / 0.1071 	 p = 0.04 	 avg = 0.00 	 % = 1.0635 / +4.2348
0.003000 / 0.003000 / 0.050000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.01 	 avg = 0.00 	 % = 1.0168 / +1.1177
0.003000 / 0.003000 / 0.060000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.01 	 avg = 0.00 	 % = 1.0222 / +1.4781
0.003000 / 0.003000 / 0.070000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.080000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.090000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.100000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.110000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.120000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.130000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.140000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.150000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.160000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.170000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.180000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.003000 / 0.003000 / 0.190000 	 t = 0.0000 / 0.0150 	 c = 38 / 10 / 28 / 0.3571 	 h = -0.0152 / 0.1071 	 p = 0.02 	 avg = 0.00 	 % = 1.0258 / +1.7222
0.004000 / 0.004000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0152 / 0.1617 	 p = 0.17 	 avg = 0.01 	 % = 1.3080 / +20.5305
0.005000 / 0.005000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0152 / 0.1636 	 p = 0.16 	 avg = 0.01 	 % = 1.2903 / +19.3527
0.006000 / 0.006000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0152 / 0.1654 	 p = 0.16 	 avg = 0.01 	 % = 1.2947 / +19.6435
0.006000 / 0.006000 / 0.050000 	 t = 0.0000 / 0.0150 	 c = 57 / 19 / 38 / 0.5000 	 h = -0.0152 / 0.1032 	 p = 0.00 	 avg = 0.00 	 % = 1.0045 / +0.2988
0.007000 / 0.007000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 8 / 12 / 0.6667 	 h = -0.0152 / 0.1669 	 p = 0.16 	 avg = 0.01 	 % = 1.3030 / +20.2008
0.007000 / 0.007000 / 0.040000 	 t = 0.0000 / 0.0150 	 c = 55 / 21 / 34 / 0.6176 	 h = -0.0152 / 0.1120 	 p = 0.07 	 avg = 0.00 	 % = 1.1076 / +7.1735
0.008000 / 0.008000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 7 / 13 / 0.5385 	 h = -0.0152 / 0.0718 	 p = 0.04 	 avg = 0.00 	 % = 1.0728 / +4.8563
0.009000 / 0.009000 / 0.010000 	 t = 0.0000 / 0.0150 	 c = 20 / 7 / 13 / 0.5385 	 h = -0.0152 / 0.0721 	 p = 0.04 	 avg = 0.00 	 % = 1.0757 / +5.0442
0.010000 / 0.010000 / 0.090000 	 t = 0.0000 / 0.0150 	 c = 85 / 32 / 53 / 0.6038 	 h = -0.0152 / 0.1004 	 p = 0.02 	 avg = 0.00 	 % = 1.0521 / +3.4715
0.010000 / 0.010000 / 0.130000 	 t = 0.0000 / 0.0150 	 c = 90 / 32 / 58 / 0.5517 	 h = -0.0152 / 0.1049 	 p = 0.02 	 avg = 0.00 	 % = 1.0484 / +3.2250
0.010000 / 0.010000 / 0.140000 	 t = 0.0000 / 0.0150 	 c = 90 / 32 / 58 / 0.5517 	 h = -0.0152 / 0.1049 	 p = 0.01 	 avg = 0.00 	 % = 1.0405 / +2.6977
0.010000 / 0.010000 / 0.150000 	 t = 0.0000 / 0.0150 	 c = 90 / 32 / 58 / 0.5517 	 h = -0.0152 / 0.1049 	 p = 0.01 	 avg = 0.00 	 % = 1.0441 / +2.9374
0.010000 / 0.010000 / 0.160000 	 t = 0.0000 / 0.0150 	 c = 90 / 32 / 58 / 0.5517 	 h = -0.0152 / 0.1049 	 p = 0.01 	 avg = 0.00 	 % = 1.0450 / +2.9976
0.010000 / 0.010000 / 0.170000 	 t = 0.0000 / 0.0150 	 c = 90 / 32 / 58 / 0.5517 	 h = -0.0152 / 0.1049 	 p = 0.01 	 avg = 0.00 	 % = 1.0453 / +3.0217
